year,date,quad,ch1,ch2,ch3,ch4
2016,6/27/16,E1Q1,236.9,122.7,806,189.2
2016,6/27/16,X22,326.6,171.5,924.3,216.8
2016,6/27/16,X15,289.4,150.4,764.5,179.5
2016,6/27/16,X16,242.8,125.1,956.7,226.3
2016,6/27/16,X32,251.1,125.1,973.5,228.7
2016,6/27/16,X33,284.5,151.2,858.5,201
2016,6/27/16,X31,256.5,130.7,821.4,194.4
2016,6/27/16,E1Q6,343.6,185.7,945.1,222.3
2016,6/27/16,X29,310.5,164.2,878.8,206.9
2016,6/27/16,X17,266.2,136.7,894.2,211.8
2016,6/27/16,X18,272.8,138.6,913,215.2
2016,6/27/16,X30,329.7,174.4,838.9,196.9
2016,6/27/16,X24,269.2,142,799.5,189.6
2016,6/27/16,X21,291.8,150.2,846.3,198.8
2016,6/27/16,X35,293.6,151.7,997.5,234.8
2016,6/27/16,E1Q2,219.9,109,859.7,204.6
2016,6/27/16,X20,242.5,122.5,951.1,229.2
2016,6/27/16,X19,266.3,140.6,910.8,214.3
2016,6/27/16,X11,298.5,152.9,900.9,206.4
2016,6/27/16,X12,250.6,128.7,1060.9,253.7
2016,6/27/16,X2,248.9,128.6,718.3,168.1
2016,6/27/16,X1,263.8,138.6,848.1,197.6
2016,6/27/16,E1Q3,189.3,95.7,700.1,164.5
2016,6/27/16,X13,207.6,109.4,701.6,163.4
2016,6/27/16,X14,226.9,118.8,725.5,168.9
2016,6/27/16,X23,285.1,153,738.2,172.6
2016,6/27/16,X26,289.3,154.2,779.7,182.7
2016,6/27/16,E1Q4,226.9,117.4,920.4,215.5
2016,6/27/16,X34,339.6,183.3,911.7,213.4
2016,6/27/16,X28,249.9,134.4,799.9,188.3
2016,6/27/16,E1Q5,233.7,123.6,856,201.1
2016,6/27/16,X36,225.3,120.7,777.2,183.8
2016,6/27/16,X5,260.4,137.1,765.4,180.7
2016,6/27/16,X6,192.1,99.6,787.4,185
2016,6/27/16,X27,228.9,118.6,811.3,190.1
2016,6/27/16,X25,120.7,60.3,574.3,136
2016,6/27/16,X8,228.7,123.1,670.2,159.8
2016,6/27/16,X7,171.3,87.3,730.8,173.5
2016,6/28/16,P10E1Q1,305.9,163.5,835.5,197.5
2016,6/28/16,P10E1Q4,246,128,795,188.9
2016,6/28/16,P10E1Q3,230.7,119.7,842.1,200.3
2016,6/28/16,P10E1Q2,273.2,139.3,1154.4,277.5
2016,6/28/16,P7E1Q1,177.4,92,631.1,152.3
2016,6/28/16,P7E1Q2,190.5,103.3,682.3,165.4
2016,6/28/16,P7E1Q3,169.7,91.3,634.3,153.3
2016,6/28/16,P7E1Q4,205.3,109.9,662.5,159.6
