Measurement Time	Port 1 ECT/RT-1 Temperature Temp °C	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
04/07/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/07/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 12:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 06:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/08/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 12:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
04/09/12 06:00 PM	-7.6	* * * 	* * * 	* * * 	* * * 
04/09/12 08:00 PM	15.2	0.108	0.137	0.115	0.128
04/09/12 10:00 PM	7.0	0.106	0.131	0.111	0.125
04/10/12 12:00 AM	6.1	0.105	0.132	0.109	0.126
04/10/12 02:00 AM	5.4	0.104	0.132	0.108	0.126
04/10/12 04:00 AM	3.1	0.103	0.132	0.107	0.125
04/10/12 06:00 AM	1.9	0.103	0.132	0.105	0.125
04/10/12 08:00 AM	3.3	0.101	0.132	0.105	0.125
04/10/12 10:00 AM	13.8	0.101	0.132	0.107	0.125
04/10/12 12:00 PM	20.4	0.105	0.133	0.111	0.125
04/10/12 02:00 PM	22.3	0.111	0.134	0.115	0.125
04/10/12 04:00 PM	24.0	0.114	0.134	0.117	0.126
04/10/12 06:00 PM	24.0	0.115	0.135	0.116	0.127
04/10/12 08:00 PM	19.9	0.112	0.136	0.112	0.128
04/10/12 10:00 PM	7.2	0.108	0.137	0.108	0.128
04/11/12 12:00 AM	6.2	0.105	0.137	0.106	0.128
04/11/12 02:00 AM	6.7	0.105	0.137	0.105	0.128
04/11/12 04:00 AM	6.7	0.103	0.137	0.105	0.128
04/11/12 06:00 AM	4.7	0.102	0.136	0.104	0.127
04/11/12 08:00 AM	6.3	0.101	0.136	0.104	0.127
04/11/12 10:00 AM	14.7	0.102	0.136	0.105	0.127
04/11/12 12:00 PM	20.4	0.105	0.137	0.107	0.127
