Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
11/09/13 04:00 PM	9.2	0.210	* * * 	0.074	0.126
11/09/13 06:00 PM	3.2	0.221	* * * 	0.074	0.162
11/09/13 08:00 PM	-1.6	0.209	0.233	0.073	0.158
11/09/13 10:00 PM	-2.1	0.202	0.377	0.073	0.155
11/10/13 12:00 AM	-2.4	0.195	0.394	0.072	0.153
11/10/13 02:00 AM	-1.8	0.191	0.397	0.072	0.151
11/10/13 04:00 AM	-1.3	0.186	0.394	0.072	0.150
11/10/13 06:00 AM	-1.4	0.178	0.396	0.072	0.147
11/10/13 08:00 AM	-1.3	0.172	0.392	0.072	0.146
11/10/13 10:00 AM	5.8	0.170	0.312	0.072	0.145
11/10/13 12:00 PM	9.6	0.170	-0.179	0.072	0.144
11/10/13 02:00 PM	12.3	0.172	* * * 	0.072	0.142
11/10/13 04:00 PM	12.2	0.177	* * * 	0.073	0.141
11/10/13 06:00 PM	4.5	0.176	-0.217	0.073	0.140
11/10/13 08:00 PM	0.8	0.174	0.199	0.073	0.140
11/10/13 10:00 PM	-0.1	0.173	0.310	0.073	0.138
11/11/13 12:00 AM	1.2	0.172	0.383	0.073	0.137
11/11/13 02:00 AM	0.4	0.170	0.385	0.072	0.135
11/11/13 04:00 AM	0.3	0.169	0.387	0.072	0.134
11/11/13 06:00 AM	0.4	0.168	0.385	0.072	0.133
11/11/13 08:00 AM	-0.5	0.167	0.389	0.072	0.131
11/11/13 10:00 AM	5.0	0.167	0.343	0.072	0.130
11/11/13 12:00 PM	13.3	0.167	* * * 	0.073	0.129
11/11/13 02:00 PM	14.5	0.169	* * * 	0.074	0.128
11/11/13 04:00 PM	15.1	0.170	* * * 	0.074	0.128
11/11/13 06:00 PM	4.6	0.168	* * * 	0.074	0.127
11/11/13 08:00 PM	0.8	0.167	-0.039	0.075	0.126
11/11/13 10:00 PM	0.6	0.165	* * * 	0.074	0.125
11/12/13 12:00 AM	-0.5	0.163	* * * 	0.074	0.123
11/12/13 02:00 AM	-0.8	0.162	* * * 	0.073	0.123
11/12/13 04:00 AM	-1.2	0.161	* * * 	0.073	0.121
11/12/13 06:00 AM	-1.1	0.159	* * * 	0.073	0.119
11/12/13 08:00 AM	-0.9	0.158	* * * 	0.073	0.118
11/12/13 10:00 AM	9.2	0.158	* * * 	0.073	0.117
11/12/13 12:00 PM	14.7	0.159	* * * 	0.074	0.117
11/12/13 02:00 PM	17.0	0.161	* * * 	0.074	0.116
11/12/13 04:00 PM	15.9	0.162	* * * 	0.075	0.115
11/12/13 06:00 PM	7.0	0.162	* * * 	0.075	0.114
11/12/13 08:00 PM	3.0	0.160	0.092	0.075	0.113
11/12/13 10:00 PM	4.1	0.159	0.171	0.075	0.112
11/13/13 12:00 AM	3.3	0.158	0.177	0.075	0.111
11/13/13 02:00 AM	3.7	0.157	0.174	0.075	0.111
11/13/13 04:00 AM	3.6	0.156	0.174	0.074	0.110
11/13/13 06:00 AM	2.7	0.156	0.176	0.074	0.109
11/13/13 08:00 AM	1.5	0.156	0.257	0.074	0.108
11/13/13 10:00 AM	4.1	0.156	0.232	0.074	0.107
11/13/13 12:00 PM	4.6	0.156	0.148	0.075	0.106
11/13/13 02:00 PM	5.7	0.157	0.046	0.077	0.105
11/13/13 04:00 PM	9.6	0.159	* * * 	0.076	0.105
11/13/13 06:00 PM	4.1	0.159	* * * 	0.076	0.105
11/13/13 08:00 PM	-0.4	0.158	0.120	0.076	0.105
11/13/13 10:00 PM	-1.1	0.156	0.261	0.075	0.104
11/14/13 12:00 AM	-2.2	0.156	0.269	0.075	0.102
11/14/13 02:00 AM	-2.9	0.154	0.006	0.074	0.101
11/14/13 04:00 AM	-4.5	0.153	0.095	0.074	0.100
11/14/13 06:00 AM	-2.1	0.152	0.094	0.074	0.100
11/14/13 08:00 AM	-1.2	0.151	0.094	0.074	0.099
11/14/13 10:00 AM	-0.8	0.151	0.094	0.073	0.098
11/14/13 12:00 PM	-0.6	0.151	0.094	0.073	0.097
11/14/13 02:00 PM	0.3	0.151	0.094	0.073	0.097
11/14/13 04:00 PM	2.2	0.153	0.094	0.074	0.096
11/14/13 06:00 PM	-0.6	0.152	0.094	0.074	0.096
11/14/13 08:00 PM	-1.5	0.151	0.094	0.074	0.095
11/14/13 10:00 PM	-2.3	0.151	0.094	0.073	0.094
11/15/13 12:00 AM	-4.6	0.150	0.094	0.073	0.094
