Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp	Port 4 5TM Moisture/Temp m³/m³ VWC	Port 4 5TM Moisture/Temp °C Temp	Port 5 5TM Moisture/Temp m³/m³ VWC	Port 5 5TM Moisture/Temp °C Temp
04/13/14 12:00 PM	-12.0	0.045	-18.7	0.057	-18.9	-0.050	-39.3	* * * 	* * * 
04/13/14 02:00 PM	6.9	0.168	9.5	0.267	8.4	* * * 	* * * 	* * * 	* * * 
04/13/14 04:00 PM	9.4	0.173	11.5	0.246	11.6	* * * 	* * * 	* * * 	* * * 
04/13/14 06:00 PM	9.6	0.170	12.0	0.234	13.3	* * * 	* * * 	* * * 	* * * 
04/13/14 08:00 PM	5.8	0.166	10.1	0.226	12.1	* * * 	* * * 	* * * 	* * * 
04/13/14 10:00 PM	-4.8	0.162	6.4	0.219	8.7	* * * 	* * * 	* * * 	* * * 
04/14/14 12:00 AM	-6.9	0.160	4.1	0.214	6.0	* * * 	* * * 	* * * 	* * * 
04/14/14 02:00 AM	-9.6	0.157	2.6	0.208	4.6	* * * 	* * * 	* * * 	* * * 
04/14/14 04:00 AM	-9.9	0.155	1.6	0.203	3.9	* * * 	* * * 	* * * 	* * * 
04/14/14 06:00 AM	-10.7	0.150	0.7	0.198	3.4	* * * 	* * * 	* * * 	* * * 
04/14/14 08:00 AM	-8.7	0.139	-0.1	0.194	2.9	* * * 	* * * 	* * * 	* * * 
04/14/14 10:00 AM	4.4	0.128	-0.1	0.191	2.6	* * * 	* * * 	* * * 	* * * 
04/14/14 12:00 PM	9.5	0.140	0.6	0.194	2.5	* * * 	* * * 	* * * 	* * * 
04/14/14 02:00 PM	11.0	0.156	7.0	0.204	5.8	* * * 	* * * 	* * * 	* * * 
04/14/14 04:00 PM	12.7	0.162	13.7	0.205	10.3	* * * 	* * * 	* * * 	* * * 
04/14/14 06:00 PM	13.8	0.164	15.8	0.204	12.3	* * * 	* * * 	* * * 	* * * 
04/14/14 08:00 PM	11.8	0.162	14.1	0.202	11.5	* * * 	* * * 	* * * 	* * * 
04/14/14 10:00 PM	0.3	0.158	10.0	0.198	8.7	* * * 	* * * 	* * * 	* * * 
04/15/14 12:00 AM	-0.5	0.155	6.7	0.195	6.4	* * * 	* * * 	* * * 	* * * 
04/15/14 02:00 AM	2.6	0.154	5.4	0.194	5.3	* * * 	* * * 	* * * 	* * * 
04/15/14 04:00 AM	0.0	0.153	4.6	0.193	4.7	* * * 	* * * 	* * * 	* * * 
04/15/14 06:00 AM	-0.4	0.152	3.8	0.192	4.1	* * * 	* * * 	* * * 	* * * 
04/15/14 08:00 AM	0.1	0.151	3.2	0.191	3.7	* * * 	* * * 	* * * 	* * * 
04/15/14 10:00 AM	5.7	0.151	3.9	0.191	3.9	* * * 	* * * 	* * * 	* * * 
04/15/14 12:00 PM	8.4	0.153	6.0	0.192	5.1	* * * 	* * * 	* * * 	* * * 
04/15/14 02:00 PM	13.1	0.156	9.8	0.193	7.5	* * * 	* * * 	* * * 	* * * 
04/15/14 04:00 PM	16.3	0.159	14.2	0.195	10.4	* * * 	* * * 	* * * 	* * * 
