Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 5TM Moisture/Temp m³/m³ VWC	Port 2 5TM Moisture/Temp °C Temp	Port 3 5TM Moisture/Temp m³/m³ VWC	Port 3 5TM Moisture/Temp °C Temp	Port 4 5TM Moisture/Temp m³/m³ VWC	Port 4 5TM Moisture/Temp °C Temp	Port 5 EC-5 Soil Moisture m³/m³ VWC
09/15/14 06:00 PM	31.5	0.108	25.4	0.095	27.8	* * * 	* * * 	0.100
09/15/14 08:00 PM	21.7	0.107	24.8	0.094	27.0	* * * 	* * * 	0.100
09/15/14 10:00 PM	14.2	0.105	22.5	0.091	23.6	* * * 	* * * 	0.100
09/16/14 12:00 AM	12.7	0.103	20.3	0.087	20.7	* * * 	* * * 	0.100
09/16/14 02:00 AM	11.6	0.101	18.7	0.086	18.7	* * * 	* * * 	0.100
09/16/14 04:00 AM	10.4	0.100	17.5	0.084	17.2	* * * 	* * * 	0.100
09/16/14 06:00 AM	11.7	0.099	16.7	0.083	16.3	* * * 	* * * 	0.100
09/16/14 08:00 AM	12.1	0.099	16.3	0.083	16.0	* * * 	* * * 	0.100
09/16/14 10:00 AM	17.1	0.098	16.2	0.083	16.1	* * * 	* * * 	0.100
09/16/14 12:00 PM	23.2	0.099	17.4	0.084	17.9	* * * 	* * * 	0.100
09/16/14 02:00 PM	30.5	0.101	19.9	0.086	21.5	* * * 	* * * 	0.100
09/16/14 04:00 PM	34.0	0.103	23.8	0.090	26.6	* * * 	* * * 	0.100
09/16/14 06:00 PM	32.5	0.105	26.0	0.092	29.0	* * * 	* * * 	0.100
09/16/14 08:00 PM	25.2	0.104	25.6	0.090	28.1	* * * 	* * * 	0.100
09/16/14 10:00 PM	15.4	0.102	23.5	0.087	24.9	* * * 	* * * 	0.100
09/17/14 12:00 AM	13.2	0.100	21.3	0.084	21.8	* * * 	* * * 	0.100
09/17/14 02:00 AM	12.5	0.098	19.7	0.082	19.8	* * * 	* * * 	0.101
09/17/14 04:00 AM	10.7	0.097	18.5	0.080	18.2	* * * 	* * * 	0.100
09/17/14 06:00 AM	9.8	0.096	17.5	0.079	17.0	* * * 	* * * 	0.100
09/17/14 08:00 AM	9.8	0.095	16.6	0.078	16.0	* * * 	* * * 	0.100
09/17/14 10:00 AM	19.0	0.094	16.4	0.078	15.9	* * * 	* * * 	0.100
09/17/14 12:00 PM	29.1	0.096	18.5	0.080	18.7	* * * 	* * * 	0.100
09/17/14 02:00 PM	30.4	0.098	21.8	0.084	23.3	* * * 	* * * 	0.100
09/17/14 04:00 PM	32.3	0.100	24.3	0.086	26.5	* * * 	* * * 	0.100
09/17/14 06:00 PM	31.1	0.101	25.6	0.087	28.1	* * * 	* * * 	0.100
09/17/14 08:00 PM	26.0	0.100	25.3	0.086	27.5	* * * 	* * * 	0.100
09/17/14 10:00 PM	16.2	0.098	23.5	0.084	24.7	* * * 	* * * 	0.101
09/18/14 12:00 AM	15.9	0.096	21.5	0.081	22.0	* * * 	* * * 	0.101
09/18/14 02:00 AM	16.0	0.094	20.2	0.079	20.4	* * * 	* * * 	0.101
09/18/14 04:00 AM	15.7	0.094	19.4	0.078	19.3	* * * 	* * * 	0.101
09/18/14 06:00 AM	15.4	0.093	18.9	0.077	18.8	* * * 	* * * 	0.101
09/18/14 08:00 AM	13.4	0.092	18.5	0.077	18.3	* * * 	* * * 	0.101
09/18/14 10:00 AM	15.0	0.091	18.1	0.077	17.9	* * * 	* * * 	0.101
09/18/14 12:00 PM	22.2	0.092	18.9	0.077	19.0	* * * 	* * * 	0.100
09/18/14 02:00 PM	26.0	0.094	20.8	0.079	21.7	* * * 	* * * 	0.100
09/18/14 04:00 PM	29.3	0.095	23.0	0.082	24.6	* * * 	* * * 	0.101
09/18/14 06:00 PM	24.0	0.096	24.4	0.083	26.0	* * * 	* * * 	0.100
09/18/14 08:00 PM	19.1	0.095	23.4	0.082	24.6	* * * 	* * * 	0.101
09/18/14 10:00 PM	15.0	0.094	21.8	0.080	22.4	* * * 	* * * 	0.101
09/19/14 12:00 AM	12.7	0.092	20.4	0.078	20.5	* * * 	* * * 	0.101
09/19/14 02:00 AM	9.7	0.091	19.1	0.077	18.7	* * * 	* * * 	0.101
09/19/14 04:00 AM	8.2	0.090	17.9	0.075	17.1	* * * 	* * * 	0.101
09/19/14 06:00 AM	7.4	0.089	16.8	0.074	15.9	* * * 	* * * 	0.100
09/19/14 08:00 AM	6.9	0.088	16.0	0.074	14.9	* * * 	* * * 	0.100
09/19/14 10:00 AM	15.2	0.088	15.6	0.074	14.6	* * * 	* * * 	0.100
09/19/14 12:00 PM	22.0	0.089	17.5	0.075	17.1	* * * 	* * * 	0.100
09/19/14 02:00 PM	25.7	0.092	21.0	0.079	21.6	* * * 	* * * 	0.100
09/19/14 04:00 PM	28.3	0.094	24.5	0.083	26.0	* * * 	* * * 	0.100
09/19/14 06:00 PM	29.6	0.095	25.8	0.085	27.5	* * * 	* * * 	0.100
09/19/14 08:00 PM	22.5	0.095	25.2	0.084	27.0	* * * 	* * * 	0.100
09/19/14 10:00 PM	12.5	0.093	23.0	0.081	23.7	* * * 	* * * 	0.101
09/20/14 12:00 AM	10.6	0.091	20.7	0.078	20.7	* * * 	* * * 	0.101
09/20/14 02:00 AM	9.1	0.089	19.1	0.076	18.6	* * * 	* * * 	0.101
09/20/14 04:00 AM	8.0	0.088	17.8	0.075	17.0	* * * 	* * * 	0.101
09/20/14 06:00 AM	7.6	0.087	16.7	0.074	15.8	* * * 	* * * 	0.100
09/20/14 08:00 AM	6.7	0.086	15.9	0.073	14.8	* * * 	* * * 	0.100
09/20/14 10:00 AM	16.4	0.086	15.5	0.073	14.6	* * * 	* * * 	0.100
