Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
11/5/15 12:00 PM	2.5	0.2	0.069	0.079	0.048
11/5/15 2:00 PM	3.5	0.199	0.069	0.079	0.048
11/5/15 4:00 PM	3.3	0.2	0.069	0.079	0.048
11/5/15 6:00 PM	2.8	0.202	0.069	0.079	0.048
11/5/15 8:00 PM	2.7	0.202	0.069	0.078	0.048
11/5/15 10:00 PM	2.6	0.201	0.069	0.078	0.048
11/6/15 12:00 AM	2.5	0.2	0.069	0.077	0.048
11/6/15 2:00 AM	-0.2	0.2	0.069	0.077	0.048
11/6/15 4:00 AM	-5.5	0.199	0.069	0.076	0.048
11/6/15 6:00 AM	-4.8	0.198	0.069	0.075	0.048
11/6/15 8:00 AM	-4.8	0.197	0.069	0.075	0.048
11/6/15 10:00 AM	-2.3	0.195	0.069	0.075	0.049
11/6/15 12:00 PM	-0.2	0.194	0.07	0.074	0.049
11/6/15 2:00 PM	1.7	0.194	0.07	0.073	0.049
11/6/15 4:00 PM	2.5	0.199	0.07	0.073	0.049
11/6/15 6:00 PM	-1.7	0.206	0.069	0.072	0.048
11/6/15 8:00 PM	-6.4	0.205	0.069	0.072	0.048
11/6/15 10:00 PM	-8.3	0.202	0.069	0.071	0.048
11/7/15 12:00 AM	-8.5	0.198	0.069	0.07	0.048
11/7/15 2:00 AM	-8.7	0.194	0.07	0.069	0.048
11/7/15 4:00 AM	-8.1	0.19	0.07	0.068	0.048
11/7/15 6:00 AM	-8.1	0.186	0.07	0.067	0.048
11/7/15 8:00 AM	-5.1	0.183	0.07	0.066	0.048
11/7/15 10:00 AM	-2.6	0.18	0.07	0.066	0.049
11/7/15 12:00 PM	-0.9	0.179	0.07	0.065	0.049
11/7/15 2:00 PM	4.9	0.179	0.07	0.064	0.049
11/7/15 4:00 PM	3.3	0.181	0.07	0.064	0.049
11/7/15 6:00 PM	-0.1	0.187	0.07	0.064	0.049
11/7/15 8:00 PM	-3.9	0.191	0.07	0.065	0.049
11/7/15 10:00 PM	-3.2	0.189	0.07	0.066	0.049
11/8/15 12:00 AM	2.9	0.185	0.07	0.066	0.049
11/8/15 2:00 AM	1	0.181	0.07	0.066	0.049
11/8/15 4:00 AM	2.2	0.178	0.07	0.066	0.049
11/8/15 6:00 AM	3.3	0.175	0.07	0.066	0.049
11/8/15 8:00 AM	3.3	0.172	0.07	0.067	0.049
11/8/15 10:00 AM	4.7	0.169	0.07	0.066	0.049
11/8/15 12:00 PM	8.9	0.167	0.071	0.063	0.049
11/8/15 2:00 PM	7.1	0.167	0.071	0.062	0.05
11/8/15 4:00 PM	13.1	0.195	0.071	0.063	0.05
11/8/15 6:00 PM	12.8	0.21	0.071	0.064	0.05
11/8/15 8:00 PM	8.5	0.205	0.071	0.068	0.05
11/8/15 10:00 PM	3.9	0.2	0.071	0.071	0.05
11/9/15 12:00 AM	2.1	0.195	0.071	0.072	0.05
11/9/15 2:00 AM	2.2	0.189	0.071	0.072	0.051
11/9/15 4:00 AM	4.4	0.184	0.071	0.072	0.051
11/9/15 6:00 AM	5.5	0.179	0.072	0.072	0.051
11/9/15 8:00 AM	5.6	0.175	0.072	0.072	0.051
11/9/15 10:00 AM	11.1	0.172	0.072	0.07	0.051
11/9/15 12:00 PM	4.2	0.171	0.072	0.068	0.051
11/9/15 2:00 PM	3.1	0.171	0.072	0.067	0.051
11/9/15 4:00 PM	3.4	0.171	0.072	0.066	0.051
11/9/15 6:00 PM	5.5	0.173	0.072	0.065	0.052
11/9/15 8:00 PM	0	0.174	0.072	0.063	0.052
11/9/15 10:00 PM	-0.9	0.175	0.072	0.064	0.052
11/10/15 12:00 AM	-1.3	0.177	0.072	0.066	0.052
11/10/15 2:00 AM	-2	0.179	0.072	0.066	0.052
11/10/15 4:00 AM	-2.5	0.18	0.072	0.066	0.053
11/10/15 6:00 AM	-2.8	0.181	0.073	0.066	0.053
11/10/15 8:00 AM	-2.8	0.182	0.073	0.066	0.053
11/10/15 10:00 AM	-2.2	0.183	0.073	0.066	0.053
11/10/15 12:00 PM	-1.6	0.183	0.073	0.066	0.053
11/10/15 2:00 PM	-1.4	0.184	0.074	0.066	0.053
11/10/15 4:00 PM	0.1	0.184	0.074	0.06	0.054
11/10/15 6:00 PM	-1.7	0.185	0.074	0.058	0.054
11/10/15 8:00 PM	-3.4	0.186	0.074	0.058	0.054
11/10/15 10:00 PM	-4.8	0.184	0.075	0.059	0.054
11/11/15 12:00 AM	-5.7	0.18	0.075	0.059	0.054
11/11/15 2:00 AM	-6.2	0.176	0.075	0.058	0.054
11/11/15 4:00 AM	-8.7	0.172	0.076	0.058	0.054
11/11/15 6:00 AM	-9.4	0.168	0.076	0.059	0.054
11/11/15 8:00 AM	-10.7	0.164	0.076	0.06	0.054
11/11/15 10:00 AM	-7.2	0.16	0.076	0.06	0.054
11/11/15 12:00 PM	-5.3	0.156	0.077	0.058	0.055
11/11/15 2:00 PM	-3	0.154	0.077	0.055	0.055
11/11/15 4:00 PM	-2	0.154	0.077	0.056	0.055
11/11/15 6:00 PM	-4.5	0.154	0.077	0.06	0.056
11/11/15 8:00 PM	-5.4	0.154	0.077	0.061	0.056
11/11/15 10:00 PM	-4.5	0.153	0.077	0.06	0.056
