logger,plot,date_started,date_uploaded,period,tail,hours
EL5742,1,2015-11-04,2016-05-10,8,,
EL5740,2,2015-11-04,2016-05-10,8,,
EM6843,7,2015-11-04,2016-05-10,8,6428,
EM20068,8,2015-11-04,2016-05-10,8,6843,
EM20069,11,2015-11-04,2016-05-10,8,4981,
EM20086,12,2015-11-04,2016-05-10,8,,
EM6845,15,2015-11-04,2016-05-10,8,5732,
EL5743,16,2015-11-04,2016-05-10,8,,
EL5739,1_2_C,2015-11-04,2016-05-10,8,,
EM20070,11_12_C,2015-11-04,2016-05-30,8,6063,
EM20067,15_16_C,2015-11-04,2016-05-10,8,6844,
EM20085,7_8_C,2015-11-04,2016-05-10,8,6804,
