date,plot,m,water,T1,T2,T3,T4,wet_weight,dry_weight,bag_weight
05-07-2015,1,6,1,16.5,18.5,16.2,26.3,98.64,81.99,2.394
05-07-2015,2,9,0,6.4,5.1,6.3,6.2,94.53,87.17,2.394
05-07-2015,3,12,0,4,4.8,5.7,6,88.65,83.17,2.394
05-07-2015,4,15,1,4.8,5.3,6.5,6.1,78.45,71.34,2.394
05-07-2015,5,18,0,6.2,6.3,5.7,6.9,104.59,98.42,2.394
05-07-2015,6,21,0,3.8,4.7,4.2,3.9,89.56,84.17,2.394
05-07-2015,7,24,1,10.7,11.9,9.1,9.8,92.24,79.22,2.394
05-07-2015,8,27,0,2.5,5.4,6.8,5.3,72.06,68.62,2.394
05-07-2015,9,30,1,14.1,24.7,23,32.2,104.86,86.36,2.394
05-07-2015,10,33,0,5.8,4.9,5,6,93.51,87.34,2.394
05-07-2015,11,36,0,4.6,4.5,3.9,3.7,120.86,112.06,2.394
05-07-2015,12,39,0,7.8,7,8.1,7.8,96.09,88.92,2.394
05-07-2015,13,42,0,6.1,6.4,6.7,6,101.53,94.84,2.394
05-07-2015,14,45,1,13.4,17.5,17.3,20.3,103.94,87.25,2.394
05-07-2015,15,48,0,5.4,5.3,5.4,5.2,82.19,77.49,2.394
05-07-2015,16,51,0,8.3,6.1,8.8,6.5,95.83,89.11,2.394
05-07-2015,17,54,0,6.7,7.2,5.6,8.4,91.34,84.21,2.394
05-07-2015,18,57,1,12.4,14.3,13.4,15.2,111.02,93.12,2.394
05-07-2015,19,60,0,4.6,5.6,6.3,5.2,69.13,64.17,2.394
05-07-2015,20,63,0,3.8,3.1,3.8,2.2,86.82,81.67,2.394
05-07-2015,21,66,1,14,10.5,13.3,10,104.57,91.26,2.394
05-07-2015,22,69,1,5.9,5.7,4.3,4.7,78.46,73.57,2.394
05-07-2015,23,72,0,7.2,9.3,7.1,8.9,74.39,68.22,2.394
05-07-2015,24,75,0,7.8,7.1,6.9,1.2,72.97,67.21,2.394
05-07-2015,25,78,0,7.8,7.4,7.3,7.9,78.13,72.77,2.394
05-07-2015,26,81,1,12.9,12.9,15,10.5,95.34,81.09,2.394
05-07-2015,27,84,1,13.8,12.2,9.4,12.4,100.06,85.75,2.394
05-07-2015,28,87,0,6.8,5.6,8.5,6.9,94.66,87.79,2.394
05-07-2015,29,90,0,8.4,7.1,6.1,6.5,72.43,67.9,2.394
05-07-2015,30,93,0,5.2,4.9,4,5.8,99.27,93.61,2.394
