"quad","year","area","species","stemID","x","y"
"Q1",2007,0.017018080453459,"Pseudoroegneria spicata","null",0.08467707,0.9471999
"Q1",2007,0.002696771341347,"Pseudoroegneria spicata","null",0.26297632,0.90771391
"Q1",2007,0.000407475532694,"Pseudoroegneria spicata","null",0.13998913,0.78662369
"Q1",2007,0.008860354042899,"Hesperostipa comata","null",0.17286397,0.76045559
"Q1",2007,0.007120044593565,"Hesperostipa comata","null",0.35208868,0.69091191
"Q1",2007,0.000526566289459,"Hesperostipa comata","null",0.4269086,0.99555065
"Q1",2007,0.004692137881258,"Hesperostipa comata","null",0.77605951,0.80747366
"Q1",2007,0.003407138813543,"Hesperostipa comata","null",0.61267187,0.79979606
"Q1",2007,0.00664157552709,"Koeleria macrantha","null",0.31924658,0.40529494
"Q1",2007,0.004196479013681,"Poa secunda","null",0.13872176,0.45750094
"Q1",2007,0.00037020851269,"Hesperostipa comata","null",0.49199969,0.93912824
"Q1",2007,0.003910334474115,"Hesperostipa comata","null",0.12667307,0.35127273
"Q1",2007,0.003512896492002,"Hesperostipa comata","null",0.31942046,0.23386481
"Q1",2007,0.006142960696864,"Hesperostipa comata","null",0.85783599,0.29291529
"Q1",2007,0.00575803127447,"Pseudoroegneria spicata","null",0.18479491,0.04763448
"Q1",2007,0.001972330333866,"Pseudoroegneria spicata","null",0.65311306,0.36343659
"Q1",2007,0.002863793683727,"Pseudoroegneria spicata","null",0.86778985,0.06080585
"Q1",2007,0.002049968783958,"Koeleria macrantha","null",0.56578816,0.30042376
"Q1",2007,0.0013347448354,"Koeleria macrantha","null",0.79620641,0.18830976
"Q1",2007,0.0005102353248,"Pseudoroegneria spicata","null",0.9894479,0.32626726
"Q1",2007,0.006814806955442,"Hesperostipa comata","null",0.96746289,0.83924297
"Q1",2007,0.001654817299552,"Poa secunda","null",0.970638,0.97302223
"Q1",2007,0.05820557538741,"Purshia tridentata","55",0.27091997,0.23293851
"Q1",2007,0.115635023680274,"Purshia tridentata","a",0.4779303,0.17683566
"Q1",2007,2.5e-05,"Pseudoroegneria spicata","null",0.7275443,0.01618651
"Q1",2007,2.5e-05,"Pseudoroegneria spicata","null",0.37935194,0.02041985
"Q1",2007,2.5e-05,"Pseudoroegneria spicata","null",0.12640977,0.10297002
"Q1",2007,2.5e-05,"Pseudoroegneria spicata","null",0.62911911,0.16117847
"Q1",2007,2.5e-05,"Pseudoroegneria spicata","null",0.5603273,0.21832858
