"year","pptLag","ppt1","TmeanSpr1","ppt2","TmeanSpr2"
1926,NA,84.2,12.6666790260784,195.2,10.0294623655914
1927,NA,195.2,10.0294623655914,137.6,10.575
1928,222.2,137.6,10.575,208.1,7.2834564860427
1929,206.4,208.1,7.2834564860427,151.5,12.1610573476702
1930,249.1,151.5,12.1610573476702,171.4,12.7860931899641
1931,216.5,171.4,12.7860931899641,214.6,10.2446774193548
1932,294.7,214.6,10.2446774193548,178.3,10.4910215053764
1933,269.9,178.3,10.4910215053764,142.6,14.4009498207886
1934,275.5,142.6,14.4009498207886,222.6,10.1140322580645
1935,183.7,222.6,10.1140322580645,191.5,12.4584946236559
1936,234.6,191.5,12.4584946236559,161.3,10.2373248053393
1937,224.5,161.3,10.2373248053393,255.5,10.0980107526882
1938,232.9,255.5,10.0980107526882,212.9,11.0189247311828
1939,292,212.9,11.0189247311828,212.6,12.4284050179212
1940,289,212.6,12.4284050179212,259.3,10.3842652329749
1941,261.9,259.3,10.3842652329749,230.7,9.49369175627239
1942,404.1,230.7,9.49369175627239,231.2,10.2810931899641
1943,321.5,231.2,10.2810931899641,401.1,9.66645161290322
1944,248,401.1,9.66645161290322,300.4,8.20989247311827
1945,418.1,300.4,8.20989247311827,206.1,11.2904659498208
1946,334,206.1,11.2904659498208,253.7,10.4265949820788
1947,334,253.7,10.4265949820788,226.9,10.9452150537634
1948,283,226.9,10.9452150537634,230.3,12.0364157706093
1949,287.9,230.3,12.0364157706093,221.6,9.37956989247313
1950,280.4,221.6,9.37956989247313,128.5,10.2593727598566
1951,262.1,128.5,10.2593727598566,251.1,10.8844802867384
1952,212,251.1,10.8844802867384,224.3,8.45290322580646
1953,338.6,224.3,8.45290322580646,187.4,10.9312724014337
1954,275,187.4,10.9312724014337,193,8.89564516129032
1955,201.1,193,8.89564516129032,215.5,12.086541218638
1956,231,215.5,12.086541218638,313.6,10.3262186379929
1957,268.7,313.6,10.3262186379929,217.7,11.7515770609319
1958,343.9,217.7,11.7515770609319,246.9,10.1796774193548
1959,260.8,246.9,10.1796774193548,177.8,10.6947101449275
1960,318.9,177.8,10.6947101449275,228.5,11.5636200716846
1961,227.8,228.5,11.5636200716846,313.2,10.6310752688172
1962,257.5,313.2,10.6310752688172,216.1,9.6178853046595
1963,404.1,216.1,9.6178853046595,282.7,8.63526881720429
1964,314.4,282.7,8.63526881720429,258.2,9.82094982078852
1965,360.5,258.2,9.82094982078852,133.9,11.4316666666667
1966,303.7,133.9,11.4316666666667,307.5,9.29001792114696
1967,225,307.5,9.29001792114696,229.6,9.26935483870967
1968,370.2,229.6,9.26935483870967,326,11.1812903225806
1969,306.4,326,11.1812903225806,247.1,9.34767025089603
1970,433.4,247.1,9.34767025089603,277.8,9.95892473118279
1971,270.5,277.8,9.95892473118279,180.1,10.9101075268817
1972,341.8,180.1,10.9101075268817,212.2,10.0224014336917
1973,258.6,212.2,10.0224014336917,159.1,11.4134767025089
1974,286.5,159.1,11.4134767025089,290.2,6.98894265232975
1975,236.8,290.2,6.98894265232975,188.8,10.416164874552
1976,327.9,188.8,10.416164874552,216.5,11.8919713261649
1977,241.1,216.5,11.8919713261649,218.8,10.4512007168459
1978,335.6,218.8,10.4512007168459,139.5,10.7747670250896
1979,391.9,139.5,10.7747670250896,273.1,10.8611290322581
1980,214,273.1,10.8611290322581,257.8,11.2240860215054
1981,349.9,257.8,11.2240860215054,311.4,9.2932258064516
1982,353.8,311.4,9.2932258064516,366,9.15274193548387
1983,343.6,366,9.15274193548387,384.2,8.93519713261649
1984,443,384.2,8.93519713261649,202.9,11.9245519713262
1985,523.5,202.9,11.9245519713262,274.6,11.6095698924731
1986,357.4,274.6,11.6095698924731,196.4,13.3594444444444
1987,379.3,196.4,13.3594444444444,183,13.1446953405018
1988,287.5,183,13.1446953405018,228.6,11.5263082437276
1989,263.8,228.6,11.5263082437276,224.2,11.28229390681
1990,250.6,224.2,11.28229390681,270.5,9.5734946236559
1991,328.3,270.5,9.5734946236559,196.7,13.4967204301075
1992,335.2,196.7,13.4967204301075,352.8,9.90114695340503
1993,265.1,352.8,9.90114695340503,167.4,12.6166129032258
1994,410.8,167.4,12.6166129032258,533.6,9.22120071684587
1995,256.5,533.6,9.22120071684587,235.5,10.6735304659498
1996,587.7,235.5,10.6735304659498,288.3,10.8737813620072
1997,317.5,288.3,10.8737813620072,327.6,9.67924731182796
1998,350.3,327.6,9.67924731182796,308,9.44369175627239
1999,409,308,9.44369175627239,211.4,12.3058064516129
2000,363.5,211.4,12.3058064516129,159.1,12.1225089605735
2001,242.7,159.1,12.1225089605735,201.8,11.4133154121864
2002,201.3,201.8,11.4133154121864,225.8,11.4979928315412
2003,248.8,225.8,11.4979928315412,218.3,11.799229390681
2004,258.3,218.3,11.799229390681,313,10.3926164874552
2005,232,313,10.3926164874552,343.7,11.767311827957
2006,378.3,343.7,11.767311827957,172.8,12.5160931899641
2007,395.1,172.8,12.5160931899641,206.9,8.54245519713263
2008,223.9,206.9,8.54245519713263,250.3,10.059211469534
2009,273.1,250.3,10.059211469534,217.4,11.4866308243727
2010,274,217.4,11.4866308243727,322.7,9.8917741935484
2011,271.3,322.7,9.8917741935484,192.6,13.3784946236559
2012,360.7,192.6,13.3784946236559,143,12.7686200716846
2013,240.6,143,12.7686200716846,112.3,12.0477777777778
2014,179.5,112.3,12.0477777777778,195.2,13.5871326164874
2015,173.9,195.2,13.5871326164874,263.9,11.050752688172
2016,369.4,263.9,11.050752688172,NA,NA
